name,cuisine,address,city,state,zipCode,latitude,longitude,priceRange,phone,website,description
La Taquería Mexicana,Mexican,123 Main St,Mexico City,CDMX,01000,19.4326,-99.1332,$$,555-0101,www.lataqueria.com,Authentic Mexican tacos and traditional dishes
Sushi Palace,Japanese,456 Ocean Ave,Guadalajara,Jalisco,44100,20.6597,-103.3496,$$$,555-0102,www.sushipalace.com,Premium sushi and Japanese cuisine
Pasta Bella,Italian,789 Roma St,Monterrey,Nuevo León,64000,25.6866,-100.3161,$$,555-0103,www.pastabella.com,Homemade pasta and Italian specialties
The Burger Joint,American,321 Liberty Rd,Puebla,Puebla,72000,19.0414,-98.2063,$,555-0104,www.burgerjoint.com,Gourmet burgers and craft beers
Green Garden,Vegetarian,654 Nature Ln,Querétaro,Querétaro,76000,20.5888,-100.3899,$$,555-0105,www.greengarden.com,Organic vegetarian and vegan options
Spice Route,Indian,987 Curry St,Tijuana,Baja California,22000,32.5149,-117.0382,$$,555-0106,www.spiceroute.com,Authentic Indian curries and tandoori
Le Croissant,French,147 Paris Ave,Cancún,Quintana Roo,77500,21.1619,-86.8515,$$$,555-0107,www.lecroissant.com,French pastries and fine dining
Dragon Wok,Chinese,258 Dynasty Rd,Mérida,Yucatán,97000,20.9674,-89.5926,$$,555-0108,www.dragonwok.com,Traditional Chinese cuisine and dim sum
Steakhouse Prime,Steakhouse,369 Beef Blvd,León,Guanajuato,37000,21.1250,-101.6860,$$$$,555-0109,www.steakhouseprime.com,Premium aged steaks and wine selection
Café Aroma,Café,741 Coffee St,San Luis Potosí,San Luis Potosí,78000,22.1565,-100.9855,$,555-0110,www.cafearoma.com,Specialty coffee and artisan desserts